,0
0,188
1,324
2,398
3,38
4,210
5,134
6,173
7,399
8,247
9,319
10,210
11,217
12,361
13,306
14,207
15,53
16,306
17,285
18,286
19,110
20,398
21,341
22,110
23,207
24,45
25,118
26,293
27,309
28,230
29,361
30,248
31,326
32,117
33,66
34,378
35,361
36,212
37,210
38,293
39,247
40,210
41,60
42,193
43,184
44,60
45,366
46,378
47,119
48,380
49,324
50,70
51,392
52,366
53,207
54,337
55,306
56,269
57,109
58,378
59,134
60,45
61,230
62,392
63,257
64,158
65,217
66,341
67,378
68,207
69,257
70,316
71,126
72,135
73,118
74,60
75,376
76,306
77,129
78,36
79,310
80,84
81,106
82,165
83,381
84,327
85,397
86,388
87,353
88,236
89,207
90,107
91,399
92,177
93,257
94,215
95,60
96,245
97,73
98,381
99,139
100,378
101,80
102,356
103,255
104,392
105,301
106,366
107,207
108,59
109,378
110,285
111,378
112,93
113,177
114,258
115,123
116,84
117,32
118,249
119,271
120,368
121,236
122,134
123,329
124,73
125,247
126,173
127,158
128,361
129,337
130,337
131,133
132,290
133,366
134,207
135,66
136,101
137,144
138,114
139,123
140,217
141,224
142,118
143,134
144,38
145,181
146,247
147,25
148,378
149,207
150,341
151,306
152,381
153,281
154,366
155,155
156,40
157,378
158,60
159,173
160,366
161,285
162,137
163,261
164,264
165,193
166,210
167,217
168,332
169,123
170,398
171,95
172,387
173,207
174,257
175,236
176,134
177,21
178,378
179,392
180,270
181,366
182,207
183,341
184,236
185,134
186,353
187,378
188,381
189,308
190,366
191,84
192,114
193,184
194,60
195,114
196,306
197,217
198,387
199,316
200,244
201,53
202,158
203,134
204,231
205,210
206,361
207,308
208,306
209,247
210,297
211,306
212,217
213,173
214,210
215,134
216,91
217,366
218,177
219,59
220,378
221,144
222,193
223,222
224,244
225,337
226,222
227,130
228,97
229,306
230,392
231,353
232,230
233,207
234,42
235,215
236,381
237,260
238,184
239,134
240,356
241,158
242,392
243,248
244,103
245,322
246,323
247,110
248,381
249,319
250,366
251,392
252,204
253,230
254,60
255,353
256,181
257,117
258,308
259,306
260,155
261,56
262,158
263,244
264,364
265,255
266,282
267,387
268,324
269,177
270,323
